Copyright 1986-2020 Xilinx, Inc. All Rights Reserved.
-----------------------------------------------------------------------------------------------
| Tool Version : Vivado v.2020.2 (lin64) Build 3064766 Wed Nov 18 09:12:47 MST 2020
| Date         : Thu Oct  3 05:06:14 2024
| Host         : 9fc2dc5cfc60 running 64-bit unknown
| Command      : report_utilization -hierarchical -file /workspace/logicnets/mnist_xs_util.txt
| Design       : logicnet_0
| Device       : xcvu9pflgb2104-2
| Design State : Synthesized
-----------------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+----------------------------+-------------------------+------------+------------+---------+------+------+--------+--------+------+------------+
|          Instance          |          Module         | Total LUTs | Logic LUTs | LUTRAMs | SRLs |  FFs | RAMB36 | RAMB18 | URAM | DSP Blocks |
|     ens0_layer0_N102_inst  |        ens0_layer0_N102 |          2 |          2 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N103_inst  |        ens0_layer0_N103 |          1 |          1 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N104_inst  |        ens0_layer0_N104 |          3 |          3 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N105_inst  |        ens0_layer0_N105 |          2 |          2 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N106_inst  |        ens0_layer0_N106 |          3 |          3 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N107_inst  |        ens0_layer0_N107 |          3 |          3 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N108_inst  |        ens0_layer0_N108 |          2 |          2 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N109_inst  |        ens0_layer0_N109 |          2 |          2 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N10_inst   |         ens0_layer0_N10 |          3 |          3 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N110_inst  |        ens0_layer0_N110 |          2 |          2 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N111_inst  |        ens0_layer0_N111 |          3 |          3 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N112_inst  |        ens0_layer0_N112 |          4 |          4 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N113_inst  |        ens0_layer0_N113 |          3 |          3 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N114_inst  |        ens0_layer0_N114 |          3 |          3 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N115_inst  |        ens0_layer0_N115 |          4 |          4 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N116_inst  |        ens0_layer0_N116 |          2 |          2 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N117_inst  |        ens0_layer0_N117 |          2 |          2 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N118_inst  |        ens0_layer0_N118 |          3 |          3 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N119_inst  |        ens0_layer0_N119 |          3 |          3 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N11_inst   |         ens0_layer0_N11 |          4 |          4 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N120_inst  |        ens0_layer0_N120 |          3 |          3 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N121_inst  |        ens0_layer0_N121 |          2 |          2 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N122_inst  |        ens0_layer0_N122 |          2 |          2 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N123_inst  |        ens0_layer0_N123 |          4 |          4 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N124_inst  |        ens0_layer0_N124 |          3 |          3 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N125_inst  |        ens0_layer0_N125 |          2 |          2 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N126_inst  |        ens0_layer0_N126 |          2 |          2 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N127_inst  |        ens0_layer0_N127 |          2 |          2 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N128_inst  |        ens0_layer0_N128 |          1 |          1 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N129_inst  |        ens0_layer0_N129 |          1 |          1 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N12_inst   |         ens0_layer0_N12 |          4 |          4 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N130_inst  |        ens0_layer0_N130 |          4 |          4 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N131_inst  |        ens0_layer0_N131 |          1 |          1 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N132_inst  |        ens0_layer0_N132 |          2 |          2 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N133_inst  |        ens0_layer0_N133 |          2 |          2 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N134_inst  |        ens0_layer0_N134 |          2 |          2 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N135_inst  |        ens0_layer0_N135 |          1 |          1 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N136_inst  |        ens0_layer0_N136 |          1 |          1 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N137_inst  |        ens0_layer0_N137 |          2 |          2 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N138_inst  |        ens0_layer0_N138 |          2 |          2 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N139_inst  |        ens0_layer0_N139 |          2 |          2 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N13_inst   |         ens0_layer0_N13 |          2 |          2 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N141_inst  |        ens0_layer0_N141 |          3 |          3 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N143_inst  |        ens0_layer0_N143 |          2 |          2 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N144_inst  |        ens0_layer0_N144 |          4 |          4 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N145_inst  |        ens0_layer0_N145 |          2 |          2 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N146_inst  |        ens0_layer0_N146 |          2 |          2 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N147_inst  |        ens0_layer0_N147 |          4 |          4 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N148_inst  |        ens0_layer0_N148 |          1 |          1 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N149_inst  |        ens0_layer0_N149 |          3 |          3 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N14_inst   |         ens0_layer0_N14 |          2 |          2 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N150_inst  |        ens0_layer0_N150 |          1 |          1 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N151_inst  |        ens0_layer0_N151 |          2 |          2 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N152_inst  |        ens0_layer0_N152 |          3 |          3 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N153_inst  |        ens0_layer0_N153 |          3 |          3 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N154_inst  |        ens0_layer0_N154 |          4 |          4 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N155_inst  |        ens0_layer0_N155 |          1 |          1 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N156_inst  |        ens0_layer0_N156 |          3 |          3 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N157_inst  |        ens0_layer0_N157 |          4 |          4 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N158_inst  |        ens0_layer0_N158 |          2 |          2 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N159_inst  |        ens0_layer0_N159 |          3 |          3 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N15_inst   |         ens0_layer0_N15 |          4 |          4 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N160_inst  |        ens0_layer0_N160 |          2 |          2 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N161_inst  |        ens0_layer0_N161 |          1 |          1 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N162_inst  |        ens0_layer0_N162 |          3 |          3 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N163_inst  |        ens0_layer0_N163 |          2 |          2 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N164_inst  |        ens0_layer0_N164 |          2 |          2 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N165_inst  |        ens0_layer0_N165 |          2 |          2 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N166_inst  |        ens0_layer0_N166 |          2 |          2 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N167_inst  |        ens0_layer0_N167 |          2 |          2 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N169_inst  |        ens0_layer0_N169 |          2 |          2 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N16_inst   |         ens0_layer0_N16 |          2 |          2 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N170_inst  |        ens0_layer0_N170 |          2 |          2 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N171_inst  |        ens0_layer0_N171 |          3 |          3 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N172_inst  |        ens0_layer0_N172 |          2 |          2 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N173_inst  |        ens0_layer0_N173 |          0 |          0 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N174_inst  |        ens0_layer0_N174 |          3 |          3 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N175_inst  |        ens0_layer0_N175 |          1 |          1 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N176_inst  |        ens0_layer0_N176 |          2 |          2 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N177_inst  |        ens0_layer0_N177 |          4 |          4 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N178_inst  |        ens0_layer0_N178 |          3 |          3 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N179_inst  |        ens0_layer0_N179 |          2 |          2 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N17_inst   |         ens0_layer0_N17 |          2 |          2 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N180_inst  |        ens0_layer0_N180 |          2 |          2 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N181_inst  |        ens0_layer0_N181 |          1 |          1 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N182_inst  |        ens0_layer0_N182 |          2 |          2 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N183_inst  |        ens0_layer0_N183 |          2 |          2 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N184_inst  |        ens0_layer0_N184 |          1 |          1 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N185_inst  |        ens0_layer0_N185 |          2 |          2 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N186_inst  |        ens0_layer0_N186 |          3 |          3 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N187_inst  |        ens0_layer0_N187 |          2 |          2 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N188_inst  |        ens0_layer0_N188 |          2 |          2 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N189_inst  |        ens0_layer0_N189 |          3 |          3 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N18_inst   |         ens0_layer0_N18 |          2 |          2 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N190_inst  |        ens0_layer0_N190 |          1 |          1 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N191_inst  |        ens0_layer0_N191 |          1 |          1 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N192_inst  |        ens0_layer0_N192 |          1 |          1 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N193_inst  |        ens0_layer0_N193 |          3 |          3 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N194_inst  |        ens0_layer0_N194 |          4 |          4 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N195_inst  |        ens0_layer0_N195 |          3 |          3 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N196_inst  |        ens0_layer0_N196 |          3 |          3 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N197_inst  |        ens0_layer0_N197 |          3 |          3 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N198_inst  |        ens0_layer0_N198 |          2 |          2 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N199_inst  |        ens0_layer0_N199 |          2 |          2 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N19_inst   |         ens0_layer0_N19 |          2 |          2 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N1_inst    |          ens0_layer0_N1 |          2 |          2 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N200_inst  |        ens0_layer0_N200 |          2 |          2 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N201_inst  |        ens0_layer0_N201 |          2 |          2 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N202_inst  |        ens0_layer0_N202 |          2 |          2 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N203_inst  |        ens0_layer0_N203 |          1 |          1 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N204_inst  |        ens0_layer0_N204 |          3 |          3 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N205_inst  |        ens0_layer0_N205 |          2 |          2 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N206_inst  |        ens0_layer0_N206 |          2 |          2 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N208_inst  |        ens0_layer0_N208 |          4 |          4 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N209_inst  |        ens0_layer0_N209 |          2 |          2 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N20_inst   |         ens0_layer0_N20 |          1 |          1 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N210_inst  |        ens0_layer0_N210 |          1 |          1 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N211_inst  |        ens0_layer0_N211 |          2 |          2 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N212_inst  |        ens0_layer0_N212 |          3 |          3 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N213_inst  |        ens0_layer0_N213 |          2 |          2 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N214_inst  |        ens0_layer0_N214 |          4 |          4 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N215_inst  |        ens0_layer0_N215 |          2 |          2 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N216_inst  |        ens0_layer0_N216 |          1 |          1 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N217_inst  |        ens0_layer0_N217 |          2 |          2 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N219_inst  |        ens0_layer0_N219 |          2 |          2 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N21_inst   |         ens0_layer0_N21 |          2 |          2 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N220_inst  |        ens0_layer0_N220 |          1 |          1 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N221_inst  |        ens0_layer0_N221 |          3 |          3 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N222_inst  |        ens0_layer0_N222 |          4 |          4 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N223_inst  |        ens0_layer0_N223 |          2 |          2 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N224_inst  |        ens0_layer0_N224 |          1 |          1 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N225_inst  |        ens0_layer0_N225 |          2 |          2 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N226_inst  |        ens0_layer0_N226 |          2 |          2 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N227_inst  |        ens0_layer0_N227 |          2 |          2 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N228_inst  |        ens0_layer0_N228 |          2 |          2 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N229_inst  |        ens0_layer0_N229 |          4 |          4 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N22_inst   |         ens0_layer0_N22 |          2 |          2 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N230_inst  |        ens0_layer0_N230 |          1 |          1 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N232_inst  |        ens0_layer0_N232 |          2 |          2 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N233_inst  |        ens0_layer0_N233 |          1 |          1 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N234_inst  |        ens0_layer0_N234 |          1 |          1 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N235_inst  |        ens0_layer0_N235 |          1 |          1 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N236_inst  |        ens0_layer0_N236 |          3 |          3 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N237_inst  |        ens0_layer0_N237 |          2 |          2 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N238_inst  |        ens0_layer0_N238 |          3 |          3 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N239_inst  |        ens0_layer0_N239 |          2 |          2 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N23_inst   |         ens0_layer0_N23 |          3 |          3 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N240_inst  |        ens0_layer0_N240 |          4 |          4 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N241_inst  |        ens0_layer0_N241 |          2 |          2 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N242_inst  |        ens0_layer0_N242 |          2 |          2 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N243_inst  |        ens0_layer0_N243 |          3 |          3 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N244_inst  |        ens0_layer0_N244 |          3 |          3 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N245_inst  |        ens0_layer0_N245 |          1 |          1 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N246_inst  |        ens0_layer0_N246 |          2 |          2 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N247_inst  |        ens0_layer0_N247 |          2 |          2 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N248_inst  |        ens0_layer0_N248 |          2 |          2 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N249_inst  |        ens0_layer0_N249 |          2 |          2 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N24_inst   |         ens0_layer0_N24 |          4 |          4 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N250_inst  |        ens0_layer0_N250 |          1 |          1 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N251_inst  |        ens0_layer0_N251 |          3 |          3 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N252_inst  |        ens0_layer0_N252 |          2 |          2 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N253_inst  |        ens0_layer0_N253 |          3 |          3 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N254_inst  |        ens0_layer0_N254 |          2 |          2 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N255_inst  |        ens0_layer0_N255 |          1 |          1 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N256_inst  |        ens0_layer0_N256 |          2 |          2 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N257_inst  |        ens0_layer0_N257 |          3 |          3 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N259_inst  |        ens0_layer0_N259 |          3 |          3 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N260_inst  |        ens0_layer0_N260 |          3 |          3 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N261_inst  |        ens0_layer0_N261 |          2 |          2 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
