trial,accuracy,loss,ensemble_size,model_size
small_same_output_scale_post_trans_ensemble_size64_seed1,72.44,0.81,64,small_same_output_scale_post_trans
uniform_input_small_ensemble_size4,72.26,0.789,4,uniform_input_small
small_same_output_scale_post_trans_ensemble_size16_seed1,72.15,0.832,16,small_same_output_scale_post_trans
small_same_output_scale_post_trans_ensemble_size8_seed1,72.12,0.844,8,small_same_output_scale_post_trans
small_no_post_trans_ensemble_size4,72.09,0.79,4,small_no_post
averaging_small_ensemble_size4,72.05,0.793,4,small
small_same_output_scale_post_trans_ensemble_size16_seed6,71.96,0.851,16,small_same_output_scale_post_trans
small_same_output_scale_post_trans_ensemble_size8_seed6,71.95,0.83,8,small_same_output_scale_post_trans
small_qavg_ensemble_size6,71.88,0.824,6,small_qavg
medium_same_output_scale_post_trans_ensemble_size32,71.87,0.926,32,medium_same_output_scale_post_trans
small_same_output_scale_ensemble_size8,71.68,0.869,8,small_same_output_scale
small_same_output_scale_post_trans_ensemble_size4_seed1,71.61,0.834,4,small_same_output_scale_post_trans
uniform_input_small_ensemble_size2,71.54,0.841,2,uniform_input_small
small_same_input_scale_ensemble_size32,71.33,0.801,32,small_same_input_scale
small_same_output_scale_post_trans_ensemble_size2_seed6,71.29,0.851,2,small_same_output_scale_post_trans
small_qavg_ensemble_size4,71.25,0.849,4,small_qavg
small_no_post_trans_ensemble_size2,71.2,0.84,2,small_no_post
small_same_input_scale_ensemble_size16,71.15,0.809,16,small_same_input_scale
small_same_input_scale_ensemble_size8,71.05,0.817,8,small_same_input_scale
averaging_small_ensemble_size2,71.05,0.838,2,small
small_same_input_scale_ensemble_size4,71.05,0.83,4,small_same_input_scale
small_same_output_scale_post_trans_ensemble_size2_seed1,70.75,0.866,2,small_same_output_scale_post_trans
small_qavg_ensemble_size2,70.75,0.865,2,small_qavg
small_same_input_scale_ensemble_size2,70.62,0.852,2,small_same_input_scale
small_same_output_scale_post_trans_ensemble_size4_seed6,69.95,0.906,4,small_same_output_scale_post_trans
small_same_output_scale_ensemble_size2,69.07,0.976,2,small_same_output_scale
small_same_output_scale_ensemble_size4,68.41,0.984,4,small_same_output_scale
